Avg Price of 1GB (USD) (bin),hg,In / Out of Bins Set,Point (Sheet21),Country,Avg Price of 1GB (USD)
1.5,,In,1,Cambodia,1.5
1.5,,In,1,Afghanistan,1.55
1.5,,In,1,Uruguay,1.58
1.5,,In,1,Serbia,1.6
1.5,,In,1,Uganda,1.62
1.5,,In,1,Nicaragua,1.71
1.5,,In,1,Macedonia,1.75
1.5,,In,1,Spain,1.81
1.5,,In,1,Lithuania,1.85
1.5,,In,1,Azerbaijan,1.86
1.5,,In,1,Congo,1.94
2.0,,In,1,Sweden,2.07
2.0,,In,1,Guinea,2.08
2.0,,In,1,Timor-Leste,2.08
2.0,,In,1,Saudi Arabia,2.12
2.0,,In,1,Burundi,2.12
2.0,,In,1,Peru,2.13
2.0,,In,1,Lesotho,2.13
2.0,,In,1,Finland,2.14
2.0,,In,1,Guatemala,2.17
2.0,,In,1,Bulgaria,2.22
2.0,,In,1,Bahrain,2.27
2.0,,In,1,Paraguay,2.3
2.0,,In,1,Ethiopia,2.44
2.0,,In,1,Singapore,2.47
2.0,,In,1,Burkina Faso,2.47
2.0,,In,1,Croatia,2.48
2.0,,In,1,Mauritius,2.48
2.5,,In,1,Hong Kong,2.55
2.5,,In,1,Haiti,2.74
2.5,,In,1,Costa Rica,2.74
2.5,,In,1,Cameroon,2.75
2.5,,In,1,Albania,2.83
2.5,,In,1,Netherlands,2.98
3.0,,In,1,Bosnia and Herzegovina,3.04
3.0,,In,1,Honduras,3.12
3.0,,In,1,Côte d'Ivoire,3.2
3.0,,In,1,Ecuador,3.24
3.0,,In,1,Liberia,3.25
3.0,,In,1,Palestine,3.26
3.0,,In,1,Niger,3.3
3.0,,In,1,Senegal,3.3
3.0,,In,1,Mozambique,3.33
3.0,,In,1,Colombia,3.46
3.5,,In,1,Sierra Leone,3.69
3.5,,In,1,United Arab Emirates,3.78
3.5,,In,1,Latvia,3.79
3.5,,In,1,Lebanon,3.82
3.5,,In,1,Slovakia,3.84
3.5,,In,1,Jamaica,3.88
3.5,,In,1,Japan,3.91
4.0,,In,1,Germany,4.06
4.0,,In,1,Qatar,4.12
4.0,,In,1,Guinea-Bissau,4.12
4.0,,In,1,Mali,4.12
4.0,,In,1,Lao PDR,4.16
4.0,,In,1,Iraq,4.2
4.0,,In,1,South Africa,4.3
